Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Catherine Zusy,Yeas,Nays,Present,Absent,Recused,Link,Notes,Summary
CMA 2025 #142,2025-06-09 Regular,2025-06-09,3,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29840&CssClass=,,"Appropriation of $118,620.00 funded by the federal department of health and human services and administered by the massachusetts executive office of housing and livable communities (eohlc) to the grant fund human service programs salary and wages account ($11,762.00), and to the grant fund human service programs other ordinary maintenance account ($106,858.00)."
CMA 2025 #143,2025-06-09 Regular,2025-06-09,4,Awaiting Report Response,AR-25-24,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29841&CssClass=,,Awaiting report item number 25-24 regarding a critical drought status report.
CMA 2025 #144,2025-06-09 Regular,2025-06-09,5,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29859&CssClass=,,The submission of the zero waste master plan.
CMA 2025 #145,2025-06-09 Regular,2025-06-09,6,Appointment,,,!!,Withdrawn,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29846&CssClass=,BY COUNCILLOR WHEELER,"Appointments of florrie darwin, scott kyle, and michael rogove and the reappointments of chandra harrington, joseph ferrara, elizabeth lyster, yuting zhang, gavin kleespies, paula paris, and kyle sheffield."
CMA 2025 #146,2025-06-09 Regular,2025-06-09,7,Appointment,,,!!,Approved,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29842&CssClass=,NOLAN,"Appointment sarah holt, emily oldshue, and ruth webb and the reappointments of marie-pierre dillenseger, donna marcantonio, and peter schur to the half crown-marsh neighborhood conservation district commission."
CMA 2025 #147,2025-06-09 Regular,2025-06-09,8,Appointment,,,!!,Approved,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29843&CssClass=,NOLAN,"Appointment of nondita mehrotra, and the reappointments of constantin von wentzel, heli meltsner, mckelden smith, theresa hamacher, and freweyni gebrehiwet to the avon hill neighborhood conservation district commission."
CMA 2025 #148,2025-06-09 Regular,2025-06-09,9,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29839&CssClass=,,"Appropriation of 40,625 received from the metropolitan mayors coalition’s community safety initiative through the executive office of public"
CMA 2025 #149,2025-06-09 Regular,2025-06-09,10,Communication,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29931&CssClass=,AND PLACE CMA ON FILE,A request for approval to seek authorization from the massachusetts office of the inspector general (the “ig”) for the city to use the construction manager at risk (“cmar”) procurement and construction method (the “cmar method”) in connection with
CMA 2025 #150,2025-06-09 Regular,2025-06-09,11,Awaiting Report Response,AR-25-25,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29836&CssClass=,,"Awaiting report item number 25-25, regarding a request to establish a lost and found program at cambridge city hall.."
CMA 2025 #151,2025-06-09 Regular,2025-06-09,12,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29918&CssClass=,,"An amendment to the fresh pond golf pro shop fund ordinance to enable the funds to be used to cover the purchase of office supplies for the shop and the purchase of supplies and services for the care, maintenance, and improvement of the golf course, shop, and parking lot.  placed on unfinished business in council june 9, 2025"
CMA 2025 #152,2025-06-09 Regular,2025-06-09,13,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29954&CssClass=,AND CMA PLACED ON FILE,"Transmitting communication from yi-an huang, city manager,  relative to a request for authorization of a spending limit of $200,000 for fiscal year 2026, for the fresh pond golf course pro shop revolving fund (revolving fund), pursuant to chapter 3.24 of the municipal ordinance titled “departmental revolving funds”."
CMA 2025 #153,2025-06-09 Regular,2025-06-09,14,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29844&CssClass=,AS AMENDED,"A revised draft of the “eastern cambridge community enhancements” zoning petition.  placed on unfinished business in council june 9, 2025"
CMA 2025 #159,2025-06-16 Regular,2025-06-16,1,Communication,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4656&MediaPosition=&ID=30315&CssClass=,CMA,"A  communication transmitted from yi-an huang, city manager, relative to a federal update."
CMA 2025 #154,2025-06-16 Regular,2025-06-16,2,Awaiting Report Response,AR-25-3,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4656&MediaPosition=&ID=30239&CssClass=,CMA,"The 5th annul cycling safety ordinance report and awaiting report item number25-03, regarding update on the status and timeline for the completion of the grand junction multiuse path."
CMA 2025 #155,2025-06-16 Regular,2025-06-16,3,Appropriation,,,,Approved,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4656&MediaPosition=&ID=30220&CssClass=,AND CMA PLACED ON FILE,The authorization for the renewable energy and greenhouse gas (ghg) reduction revolving fund.
CMA 2025 #156,2025-06-16 Regular,2025-06-16,4,Communication,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4656&MediaPosition=&ID=30221&CssClass=,CMA,The submission of the parking impact report.
CMA 2025 #157,2025-06-16 Regular,2025-06-16,5,Awaiting Report Response,,POR 2025 #25,,Referred to Committee,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4656&MediaPosition=&ID=30222&CssClass=,NLTP AND CMA PLACED ON FILE,Policy order number 2025 #25 regarding a zoning petition on maximum unit size.
CMA 2025 #158,2025-06-16 Regular,2025-06-16,6,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4656&MediaPosition=&ID=30238&CssClass=,AND CMA PLACED ON FILE,"Appropriation of $1,000,000, from the federal grant stabilization fund to the grant fund housing department other ordinary maintenance account to support a municipal housing voucher grant program which will fund rental housing vouchers to be offered by the cambridge housing authority (cha). this appropriation will allow for city staff to work with cha in fy26 to transition these households to a city-funded voucher as soon as possible, the program is anticipated to cost approximately $1,000,000 annually."
CMA 2025 #153,2025-06-16 Regular,2025-06-16,7,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4656&MediaPosition=&ID=29844&CssClass=,,"A revised draft of the “eastern cambridge community enhancements” zoning petition.  placed on unfinished business in council june 9, 2025"
CMA 2025 #151,2025-06-16 Regular,2025-06-16,9,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4656&MediaPosition=&ID=29918&CssClass=,,"An amendment to the fresh pond golf pro shop fund ordinance to enable the funds to be used to cover the purchase of office supplies for the shop and the purchase of supplies and services for the care, maintenance, and improvement of the golf course, shop, and parking lot.  placed on unfinished business in council june 9, 2025"
CMA 2025 #160,2025-06-23 Regular,2025-06-23,1,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30441&CssClass=,,"Appropriation of $540,000 from free cash to the general fund law travel and training (judgment and damages) account for the settlement payment relating to lubavitch of cambridge, inc. v. cambridge board of zoning appeal and city of cambridge (united states district court district of massachusetts, docket no. 1:24-cv-12403)."
CMA 2025 #161,2025-06-23 Regular,2025-06-23,2,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30443&CssClass=,,"Appropriation of $31,377.13 to the grant fund human service programs other ordinary maintenance account. these donations will be used to support services for cambridge older adult residents, including contracted specialists and trips."
CMA 2025 #162,2025-06-23 Regular,2025-06-23,3,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30447&CssClass=,,"Appropriation of 2,000.00, to the grant fund human service programs other ordinary maintenance account. the cambridge youth council will use the money for supplies, food, and contracts for upcoming projects."
CMA 2025 #163,2025-06-23 Regular,2025-06-23,4,Appropriation,,,,Adopted,8 to 0,yes,yes,yes,yes,yes,absent,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30463&CssClass=,AND CMA ON FILE,"Appropriation of $101,463.00, received from the cambridge housing authority for the cambridge employment program, to the grant fund human service programs salary and wages account."
CMA 2025 #164,2025-06-23 Regular,2025-06-23,5,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30484&CssClass=,AND CMA PLACED ON FILE,"Appropriation of $2,000.00 to the grant fund human service programs other ordinary maintenance account. these funds will support a future teen-led event in cambridge focused on raising awareness about teen substance abuse."
CMA 2025 #165,2025-06-23 Regular,2025-06-23,6,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30485&CssClass=,AND CMA PLACED ON FILE,"Appropriation of $569,252.50 to the grant fund human services other ordinary maintenance account. this award will be used to provide nutritious meals to cambridge youth at over 45 meal sites throughout the city during the summer months when schools are closed."
CMA 2025 #166,2025-06-23 Regular,2025-06-23,7,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30507&CssClass=,,"Appropriation of $22,427.50, received in partnership with the city of somerville office of sustainability and environment (ose), to the grant fund office of sustainability other ordinary maintenance account."
CMA 2025 #167,2025-06-23 Regular,2025-06-23,8,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30514&CssClass=,,"Appropriation of $100,000, to the grant fund office of sustainability other ordinary maintenance account. funds will support community engagement focused on extreme heat resulting in a small community-led seed project."
CMA 2025 #168,2025-06-23 Regular,2025-06-23,9,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30548&CssClass=,AND CMA PLACED ON FILE,"Appropriation of $2,800,000, received from the u.s. department of transportation reconnecting communities grant program ($2,400,000) and from the boston metropolitan planning organization (mpo), transportation improvement program ($400,000), to the grant fund transportation department extraordinary expenditures account, for the design of the fitchburg crossing bicycle/pedestrian bridge project. funds will be used to support the design costs of a new off-road bridge over the fitchburg rail line that will connect danehy park to the rindge avenue neighborhood and create greater access to recreations facilities, retail and jobs for people walking and biking."
CMA 2025 #169,2025-06-23 Regular,2025-06-23,10,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30555&CssClass=,AND CMA PLACED ON FILE,"Appropriation of $18,767.24 to the public investment fund housing department extraordinary expenditures account. this appropriation will increase funds available to continue the development of affordable housing."
CMA 2025 #170,2025-06-23 Regular,2025-06-23,11,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30578&CssClass=,,"Appropriation of $4,800 to the public investment fund housing department extraordinary expenditures account. this appropriation will increase funds available to continue the development of affordable housing."
CMA 2025 #171,2025-06-23 Regular,2025-06-23,12,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30628&CssClass=,AND CMA PLACED ON FILE RECON FILED,"Appropriation of of $4,941,224.00, from the u.s. department of housing and urban development (hud), to the grant fund human service programs salary and wages account ($337,704.00), to the grant fund human service programs other ordinary maintenance account ($4,588,520.00), and to the grant fund human service programs travel and training account ($15,000.00). this grant was awarded under the federal fiscal year 2024 continuum of care program competition."
CMA 2025 #172,2025-06-23 Regular,2025-06-23,13,Appointment,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30597&CssClass=,AND CMA PLACED ON FILE,"Appointments of kwame dance and yemi kibret and the reppointments of m. amaris kinne, duane brown, frederick cabral, collin fedor, christopher fischer, and bran shim to the human services commission for a term of three years."
CMA 2025 #173,2025-06-23 Regular,2025-06-23,14,Appointment,,,,Approved,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30527&CssClass=,AND CMA PLACED ON FILE,Appointment of members to the  of the the american freedmen commission (“afc”).
CMA 2025 #174,2025-06-23 Regular,2025-06-23,15,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30620&CssClass=,AND CMA PLACED ON FILE,"Appropriation of $250,000 from the mitigation revenue stabilization fund to the public investment fund community development extraordinary expenditures account."
CMA 2025 #175,2025-06-23 Regular,2025-06-23,16,Awaiting Report Response,,POR 2024 #33,,Referred to Committee,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30511&CssClass=,ORDINANCE,"Policy order 2024-33, regarding a request to amend cambridge code of ordinances 6.08.010 (""regulation of vicious dogs"") to bring into compliance with state law; and to create a ""kennel license"" the complies with massachusetts general laws section 137a."
CMA 2025 #176,2025-06-23 Regular,2025-06-23,17,Communication,,,,Referred to Committee,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=30600&CssClass=,ADOPTED AS A ZONING PETITION AND REFERRED TO THE PLANNING BOARD AND ORDINANCE COMMITTEE,Short-term rental ordinance amendments.
CMA 2025 #153,2025-06-23 Regular,2025-06-23,4,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=29844&CssClass=,,"A revised draft of the “eastern cambridge community enhancements” zoning petition.  placed on unfinished business in council june 9, 2025"
CMA 2025 #151,2025-06-23 Regular,2025-06-23,6,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4657&MediaPosition=&ID=29918&CssClass=,,"An amendment to the fresh pond golf pro shop fund ordinance to enable the funds to be used to cover the purchase of office supplies for the shop and the purchase of supplies and services for the care, maintenance, and improvement of the golf course, shop, and parking lot.  placed on unfinished business in council june 9, 2025"
CMA 2025 #177,2025-06-30 Regular,2025-06-30,1,Communication,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=30681&CssClass=,,A federal update and the law department will provide an update on relevant court cases.
CMA 2025 #178,2025-06-30 Regular,2025-06-30,2,Communication,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=30659&CssClass=,AND CMA PLACED ON FILE,"A recommendation from the board of election commissioners for the city council to vote to authorize in-person early voting for the november 4, 2025 municipal election, in accordance with ""the votes act""."
CMA 2025 #179,2025-06-30 Regular,2025-06-30,3,Communication,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=30664&CssClass=,,The 2024 transportation demand management program report.
CMA 2025 #180,2025-06-30 Regular,2025-06-30,4,Awaiting Report Response,AR-25-30,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=30688&CssClass=,,"Awaiting report item number 25-30, regarding a review of barriers to housing production, a timeline for next inclusionary housing study, and the feasibility of additional development incentives."
CMA 2025 #181,2025-06-30 Regular,2025-06-30,5,Awaiting Report Response,AR-25-36,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=30687&CssClass=,AND REFERRED TO THE ORDINANCE COMMITTEE,"Awaiting report item number 25-36, regarding a request that the language of the welcoming community ordinance be amended to clarify that city employees shall not participate in federal immigration enforcement operations and that the sole role of city employees during any action by ice is only to protect public safety, and be amended to clarify that if cambridge police department officers respond to the scene of ice action, cpd officers should document the actions of ice including their badge numbers. passed to second reading and referred to the ordinance committee in council june 30, 2025"
CMA 2025 #183,2025-06-30 Regular,2025-06-30,6,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=30682&CssClass=,,An update on the first half of 2025.
CMA 2025 #184,2025-06-30 Regular,2025-06-30,7,Communication,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=30680&CssClass=,,The 2025 goals and metrics for the annual city manager performance review.
CMA 2025 #185,2025-06-30 Regular,2025-06-30,8,Appointment,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=30689&CssClass=,APPROVED SUBSTITUTE LANGUAGE AND CMA,"Appointment of florrie darwin, scott kyle, and michael rogove; and the reappointments of chandra harrington, joseph ferrara, kyle sheffield, gavin kleespies, paula paris, elizabeth lyster, and yuting zhang as members of the cambridge historical commission."
CMA 2025 #153,2025-06-30 Regular,2025-06-30,5,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=29844&CssClass=,,"A revised draft of the “eastern cambridge community enhancements” zoning petition.  placed on unfinished business in council june 9, 2025"
CMA 2025 #151,2025-06-30 Regular,2025-06-30,7,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4658&MediaPosition=&ID=29918&CssClass=,,"An amendment to the fresh pond golf pro shop fund ordinance to enable the funds to be used to cover the purchase of office supplies for the shop and the purchase of supplies and services for the care, maintenance, and improvement of the golf course, shop, and parking lot.  placed on unfinished business in council june 9, 2025"
CMA 2025 #190,2025-08-04 Regular,2025-08-04,1,Communication,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30811&CssClass=,,A federal update including an update on relevant court cases.
CMA 2025 #191,2025-08-04 Regular,2025-08-04,2,Communication,,,,Roll Call,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30795&CssClass=,,An update on teamster strike and republic services
CMA 2025 #192,2025-08-04 Regular,2025-08-04,3,Communication,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30814&CssClass=,AND CMA PLACED ON FILE,A request for the city council to authorize the purchasing agent to award a contract for 5 years with an option to renew for an additional 5 years to the successful bidder on the flexible spending services bid.
CMA 2025 #193,2025-08-04 Regular,2025-08-04,4,Appointment,,,,Placed on File,8 to 0,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30799&CssClass=,,Appointments of members to the  of the commercial parking control committee (cpcc).
CMA 2025 #194,2025-08-04 Regular,2025-08-04,5,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30808&CssClass=,AND CMA PLACED ON FILE,"Appropriation of 704,800, received from the massachusetts gaming commission community mitigation fund to the grant fund community development department other ordinary maintenance account ($39,300); the grant fund community development department salaries and wages account ($75,000); the grant fund community development department extraordinary expenditures account ($12,000); the grant fund community development department travel and training account ($1,000); the grant fund arts council other ordinary maintenance account ($235,100); the grant fund police salaries and wages account ($112,400); the grant fund fire extraordinary expenditures account ($48,000); the grant fund fire travel and training account ($32,000); and the grant fund transportation extraordinary expenditures account ($150,000)."
CMA 2025 #195,2025-08-04 Regular,2025-08-04,6,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30806&CssClass=,AND CMA PLACED ON FILE,"Appropriation of $16,600 to the grant fund historical commission salaries and wages account ($14,500) and to the grant fund historical commission other ordinary maintenance account ($1,475) and to the grant fund historical commission travel and training ($625). the funds will be used to support financial assistance to educate and inform the public about the city's architectural and social history through presentations to children and adults, publications, technical assistance, and an archive and non-circulating reference library."
CMA 2025 #196,2025-08-04 Regular,2025-08-04,7,Awaiting Report Response,AR-25-15,POR 2025 #29,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30817&CssClass=,,Awaiting report item #25-15 regarding the creation of plaque upholding the separation of church and state and gender equality.
CMA 2025 #197,2025-08-04 Regular,2025-08-04,8,Appointment,,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30776&CssClass=,,Appointment of john nardone as a member of the community preservation act committee (cpac) for a term of five years.
CMA 2025 #198,2025-08-04 Regular,2025-08-04,9,Awaiting Report Response,AR-25-28,,,Placed on File,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30796&CssClass=,,"Awaiting report item number 25-28, regarding an update on the status of potential civilian flagger operations in the cambridge police union contract."
CMA 2025 #199,2025-08-04 Regular,2025-08-04,10,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30807&CssClass=,AND CMA PLACED ON FILE,"Appropriation of $30,000, received from the massachusetts department of mental health’s (dmh) jail diversion program, to the grant fund police department other ordinary maintenance account ($30,000). this appropriation if approved represents funding through the first quarter of fy26. these funds, if approved will enable the department to continue the current co-response program with one clinician through september 2025."
CMA 2025 #200,2025-08-04 Regular,2025-08-04,11,Appropriation,,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30787&CssClass=,AND CMA PLACED ON FILE,"Appropriation of $263,815.00 to the grant fund department of human service programs salaries and wages account ($242,282.00), and to the grant fund department of human service programs other ordinary maintenance account ($21,533.00). funds will be used to support the cost of 6 full-time staff and 1 part-time staff salaries. additional funds will support text-a tip fatherhood campaign, workshops, events, consultants, and program supplies."
